SubscriptionId t churn regularity intensity sports1 news1 crime1 life1 obits1 business1 opinion1 mobile tablet desktop loc1 Loc2 Loc3 Loc4 SrcGoogle SrcDirect SrcElm SrcSocial SrcBingYahooAol SrcNewsletter SrcLegacy SrcGoogleNews SrcGoogleAd currprice trial
0030b3e52743e6c4c65152a54cb77d48 1 0 30 39.433333333 27 86 35 16 28 9 17 4 122 7 70 2 0 2 127 3 0 0 0 0 0 0 0 1 1
0030b3e52743e6c4c65152a54cb77d48 2 0 24 19.583333333 21 54 16 16 20 7 10 0 74 2 56 0 0 0 74 0 0 0 0 0 0 0 0 17.289993286 0
0030b3e52743e6c4c65152a54cb77d48 3 0 1 18 1 4 0 0 1 0 0 0 3 0 0 0 0 0 3 0 0 0 0 0 0 0 0 17.289993286 0
0030b3e52743e6c4c65152a54cb77d48 4 0 3 15 0 6 1 2 1 2 2 0 0 8 8 0 0 0 8 0 0 0 0 0 0 0 0 17.289993286 0
0030b3e52743e6c4c65152a54cb77d48 5 0 6 17.5 0 10 11 2 4 1 0 3 19 0 2 1 0 0 19 3 0 0 0 0 0 0 0 17.289993286 0
0030b3e52743e6c4c65152a54cb77d48 6 0 5 12.2 2 8 5 0 0 1 1 3 5 0 1 0 0 0 6 2 0 0 0 0 0 0 0 17.289993286 0
0030b3e52743e6c4c65152a54cb77d48 7 0 5 20.2 3 15 2 5 1 1 2 0 17 0 10 0 0 0 9 0 0 0 0 0 0 0 0 17.289993286 0
0030b3e52743e6c4c65152a54cb77d48 8 0 2 10.5 0 1 0 0 0 1 2 0 5 0 5 0 0 0 5 0 0 0 0 0 0 0 0 17.289993286 0
003c49e8fe39d7092f8ec7dc7a94bcd8 1 0 13 3.2307692308 2 3 2 3 0 2 1 0 0 14 14 0 0 0 0 0 12 0 0 2 0 0 0 5 1
003c49e8fe39d7092f8ec7dc7a94bcd8 2 0 1 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 17.289993286 0
003c49e8fe39d7092f8ec7dc7a94bcd8 3 0 4 2.75 0 1 0 1 0 0 2 0 0 8 8 0 0 0 0 0 0 0 0 6 0 0 0 17.289993286 0
003c49e8fe39d7092f8ec7dc7a94bcd8 4 0 9 1.7777777778 1 2 0 3 0 0 0 0 0 10 10 0 0 0 0 0 0 0 0 1 0 0 0 17.289993286 0
0052487cf1f41be7d18a046c19e65c2c 1 0 1 58 1 6 0 0 0 0 0 0 0 3 3 0 0 0 2 0 0 0 0 0 0 0 0 1 1
0052487cf1f41be7d18a046c19e65c2c 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17.289993286 0
0052487cf1f41be7d18a046c19e65c2c 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17.289993286 0
0052487cf1f41be7d18a046c19e65c2c 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17.289993286 0
0052487cf1f41be7d18a046c19e65c2c 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17.289993286 0
0052487cf1f41be7d18a046c19e65c2c 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17.289993286 0
0052487cf1f41be7d18a046c19e65c2c 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17.289993286 0
0052487cf1f41be7d18a046c19e65c2c 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17.289993286 0
007bd91681c8dd64b5bc5050ff6a36f5 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17.289993286 0
007bd91681c8dd64b5bc5050ff6a36f5 2 0 2 9 1 4 0 2 0 0 0 0 0 2 2 0 0 0 0 0 1 0 0 0 0 0 0 17.289993286 0
007bd91681c8dd64b5bc5050ff6a36f5 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17.289993286 0
007bd91681c8dd64b5bc5050ff6a36f5 4 0 5 8 5 3 3 2 0 0 0 7 0 2 3 3 2 1 5 2 0 0 0 0 0 0 0 17.289993286 0
007bd91681c8dd64b5bc5050ff6a36f5 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17.289993286 0
00855216577e161ccefda0588558d123 1 0 23 17.52173913 35 36 30 24 0 4 0 0 0 60 60 0 0 0 40 0 1 0 0 19 0 0 0 5 1
00855216577e161ccefda0588558d123 2 0 8 17.75 11 21 17 1 0 2 1 0 0 29 24 0 0 5 18 11 0 0 0 0 0 0 0 9.9899978638 0
00855216577e161ccefda0588558d123 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9.9899978638 0
00855216577e161ccefda0588558d123 4 0 14 33.357142857 42 33 15 11 1 6 1 0 0 57 57 0 0 0 52 3 0 2 0 0 0 0 0 9.9899978638 0
0085acb2c1b2111e8de19b240c334aca 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.9966659546 1
0085acb2c1b2111e8de19b240c334aca 2 0 2 18 2 2 4 1 0 1 0 0 3 0 2 0 0 1 0 1 0 0 0 2 0 0 0 4.9966659546 1
0085acb2c1b2111e8de19b240c334aca 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.9966659546 1
0085acb2c1b2111e8de19b240c334aca 4 0 3 14 0 4 4 5 0 0 0 0 7 0 7 0 0 0 0 2 0 0 0 5 0 0 0 14.989997864 0
0085acb2c1b2111e8de19b240c334aca 5 0 2 31 0 8 4 5 0 1 1 0 5 0 5 0 0 0 0 0 0 0 0 5 0 0 0 14.989997864 0
009c5c41d0c65e851cfabd3a0e1575b6 1 0 27 21.222222222 96 8 7 2 0 0 0 0 0 50 0 0 0 0 0 0 0 0 47 0 0 0 0 19.989990234 0
009c5c41d0c65e851cfabd3a0e1575b6 2 0 29 23.068965517 90 11 8 1 0 0 0 0 0 61 0 0 0 0 0 0 0 0 49 0 0 0 0 19.989990234 0
009c5c41d0c65e851cfabd3a0e1575b6 3 0 23 10.695652174 33 3 5 2 0 1 0 0 0 40 0 0 0 0 0 0 0 0 13 0 0 0 0 19.989990234 0
009c5c41d0c65e851cfabd3a0e1575b6 4 0 13 9.6153846154 26 3 1 1 0 0 0 0 0 25 0 0 0 0 0 0 0 0 25 0 0 0 0 19.989990234 0
009c5c41d0c65e851cfabd3a0e1575b6 5 0 1 6 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 19.989990234 0
009c5c41d0c65e851cfabd3a0e1575b6 6 0 7 11 19 2 1 1 0 1 0 0 0 15 0 0 0 0 0 0 0 0 15 0 0 0 0 19.989990234 0
009c5c41d0c65e851cfabd3a0e1575b6 7 0 7 6.1428571429 9 0 0 0 0 0 0 0 0 14 0 0 0 0 0 0 0 0 14 0 0 0 0 19.989990234 0
009c5c41d0c65e851cfabd3a0e1575b6 8 0 2 7.5 4 0 0 0 0 1 0 0 0 3 0 0 0 0 0 0 0 0 3 0 0 0 0 19.989990234 0
009c5c41d0c65e851cfabd3a0e1575b6 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 19.989990234 0
009c5c41d0c65e851cfabd3a0e1575b6 10 0 1 20 1 0 1 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 3 0 0 0 0 19.989990234 0
00bdccf889eeb43b5b83bdcd1be50cce 1 0 22 10.272727273 54 0 1 0 0 0 0 0 0 63 0 0 0 0 0 0 0 0 0 3 0 0 0 5.9899978638 0
00bdccf889eeb43b5b83bdcd1be50cce 2 0 15 5.1333333333 20 0 0 0 0 0 0 0 0 34 0 0 0 0 0 0 0 0 0 0 0 0 0 5.9899978638 0
00d9d4c60099cd86a7f36f13395982b6 1 0 21 6.1904761905 10 19 2 5 0 1 0 0 0 29 16 0 0 0 0 0 0 0 0 2 0 0 0 1 1
00d9d4c60099cd86a7f36f13395982b6 2 0 13 10.307692308 3 7 4 1 0 0 0 0 0 19 19 0 0 0 0 0 0 2 0 1 0 0 0 19.989990234 0
00d9d4c60099cd86a7f36f13395982b6 3 0 3 18.666666667 1 7 1 0 0 0 0 0 0 5 5 0 0 0 0 4 0 0 0 0 0 0 0 19.989990234 0
00d9d4c60099cd86a7f36f13395982b6 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 19.989990234 0
